SRX15231037	SRR19164601	Illumina HiSeq 2500
SRX15231036	SRR19164602	Illumina HiSeq 2500
SRX15231035	SRR19164603	Illumina HiSeq 2500
SRX15231034	SRR19164604	Illumina HiSeq 2500
SRX15231033	SRR19164605	Illumina HiSeq 2500
SRX15231032	SRR19164606	Illumina HiSeq 2500
SRX15231031	SRR19164607	Illumina HiSeq 2500
SRX15231030	SRR19164608	Illumina HiSeq 2500
SRX15231029	SRR19164609	Illumina HiSeq 2500
SRX15231028	SRR19164610	Illumina HiSeq 2500
SRX15231027	SRR19164611	Illumina HiSeq 2500
SRX15231026	SRR19164612	Illumina HiSeq 2500
SRX15231025	SRR19164613	Illumina HiSeq 2500
SRX15231024	SRR19164614	Illumina HiSeq 2500
SRX15231023	SRR19164615	Illumina HiSeq 2500
SRX15231022	SRR19164616	Illumina HiSeq 2500
SRX15231021	SRR19164617	Illumina HiSeq 2500
SRX15231020	SRR19164618	Illumina HiSeq 2500
SRX15231019	SRR19164619	Illumina HiSeq 2500
SRX15231018	SRR19164620	Illumina HiSeq 2500
SRX15231017	SRR19164621	Illumina HiSeq 2500
SRX15231016	SRR19164622	Illumina HiSeq 2500
SRX15231015	SRR19164623	Illumina HiSeq 2500
SRX15231014	SRR19164624	Illumina HiSeq 2500
SRX15231013	SRR19164625	Illumina HiSeq 2500
SRX15231012	SRR19164626	Illumina HiSeq 2500
SRX15231011	SRR19164627	Illumina HiSeq 2500
SRX15231010	SRR19164628	Illumina HiSeq 2500
SRX15231009	SRR19164629	Illumina HiSeq 2500
SRX15231008	SRR19164630	Illumina HiSeq 2500
SRX15231007	SRR19164631	Illumina HiSeq 2500
SRX15231006	SRR19164632	Illumina HiSeq 2500
SRX15231005	SRR19164633	Illumina HiSeq 2500
SRX15231004	SRR19164634	Illumina HiSeq 2500
SRX15231003	SRR19164635	Illumina HiSeq 2500
SRX15231002	SRR19164636	Illumina HiSeq 2500
SRX15231001	SRR19164637	Illumina HiSeq 2500
SRX15231000	SRR19164638	Illumina HiSeq 2500
SRX15230999	SRR19164639	Illumina HiSeq 2500
SRX15230998	SRR19164640	Illumina HiSeq 2500
SRX15230997	SRR19164641	Illumina HiSeq 2500
SRX15230996	SRR19164642	Illumina HiSeq 2500
SRX15230995	SRR19164643	Illumina HiSeq 2500
SRX15230994	SRR19164644	Illumina HiSeq 2500
SRX15230993	SRR19164645	Illumina HiSeq 2500
SRX15230992	SRR19164646	Illumina HiSeq 2500
SRX15230991	SRR19164647	Illumina HiSeq 2500
SRX15230990	SRR19164648	Illumina HiSeq 2500
SRX15230989	SRR19164649	Illumina HiSeq 2500
SRX15230988	SRR19164650	Illumina HiSeq 2500
SRX15230987	SRR19164651	Illumina HiSeq 2500
SRX15230986	SRR19164652	Illumina HiSeq 2500
SRX15230985	SRR19164653	Illumina HiSeq 2500
SRX15230984	SRR19164654	Illumina HiSeq 2500
SRX15230983	SRR19164655	Illumina HiSeq 2500
SRX15230982	SRR19164656	Illumina HiSeq 2500
SRX15230981	SRR19164657	Illumina HiSeq 2500
SRX15230980	SRR19164658	Illumina HiSeq 2500
SRX15230979	SRR19164659	Illumina HiSeq 2500
SRX15230978	SRR19164660	Illumina HiSeq 2500
SRX15230977	SRR19164661	Illumina HiSeq 2500
SRX15230976	SRR19164662	Illumina HiSeq 2500
SRX15230975	SRR19164663	Illumina HiSeq 2500
SRX15230974	SRR19164664	Illumina HiSeq 2500
SRX15230973	SRR19164665	Illumina HiSeq 2500
SRX15230972	SRR19164666	Illumina HiSeq 2500
SRX15230971	SRR19164667	Illumina HiSeq 2500
SRX15230970	SRR19164668	Illumina HiSeq 2500
SRX15230969	SRR19164669	Illumina HiSeq 2500
SRX15230968	SRR19164670	Illumina HiSeq 2500
SRX15230967	SRR19164671	Illumina HiSeq 2500
SRX15230966	SRR19164672	Illumina HiSeq 2500
SRX15230965	SRR19164673	Illumina HiSeq 2500
SRX15230964	SRR19164674	Illumina HiSeq 2500
SRX15230963	SRR19164675	Illumina HiSeq 2500
SRX15230962	SRR19164676	Illumina HiSeq 2500
SRX15230961	SRR19164677	Illumina HiSeq 2500
SRX15230960	SRR19164678	Illumina HiSeq 2500
SRX15230959	SRR19164679	Illumina HiSeq 2500
SRX15230958	SRR19164680	Illumina HiSeq 2500
SRX15230957	SRR19164681	Illumina HiSeq 2500
SRX15230956	SRR19164682	Illumina HiSeq 2500
SRX15230955	SRR19164683	Illumina HiSeq 2500
SRX15230954	SRR19164684	Illumina HiSeq 2500
SRX15230953	SRR19164685	Illumina HiSeq 2500
SRX15230952	SRR19164686	Illumina HiSeq 2500
SRX15230951	SRR19164687	Illumina HiSeq 2500
